,True Prevalence,PCR Parasite Prevalence,PfHRP2 Prevalence,Blood Smear Parasite Prevalence,annual EIR
0,0.10793001479278036,0.09052229069479441,0.06070152127681548,0.04358390318357378,0.3406622993180048
1,0.21099841127248795,0.17931285884282447,0.1301868590692114,0.09104096322537304,0.8400088707735304
2,0.15997661170486063,0.13507811939471595,0.09507193796030598,0.06722404514885995,0.5733960893326154
3,0.2947302819523085,0.2512478363636433,0.18993023186921856,0.1316980284472846,1.413886427909729
4,0.22563010880800052,0.19168241424103236,0.14059537403183622,0.09825674938930958,0.9651290322414604
5,0.3071202503083457,0.2617715509378767,0.19963057269789033,0.1370651879641268,1.5155325884183848
6,0.1261286904142343,0.1058070666985942,0.07126294093282916,0.050545615544670276,0.40522941050747147
7,0.17682685886752114,0.14957436513002584,0.10596935940931895,0.07453328976790556,0.682074182358061
8,0.3306888029591674,0.2826397528795345,0.2186701868086645,0.15077470719610203,1.7412726832797656
9,0.2516790281419874,0.21380394954387597,0.15821710225858107,0.10980826855113894,1.108885966903635
10,0.25918106093798654,0.221292560169963,0.16401717409695662,0.11417952935173242,1.1480538632593646
11,0.14720743833339503,0.12402114026146498,0.08562413183079137,0.06041111905280876,0.4990605249824723
12,0.21099658247134687,0.17910605622072906,0.12784299333005988,0.09009273647751623,0.783669814022235
13,0.3490179392164671,0.29752630379101697,0.23418468473708862,0.1596353118754409,2.0006369910531254
14,0.5183871003862931,0.43815434093344763,0.3567597528434789,0.2386843978542173,4.9331928512392045
15,0.45000957283254983,0.38227864307899834,0.30834419229259313,0.20798160579718594,3.367432877487783
16,0.6272653907129231,0.52880407775918,0.4258995755078033,0.2849014914811485,8.596746562193573
17,0.38694080396057645,0.33006381931370055,0.26182640703165205,0.1774753810914392,2.3798258572989415
18,0.5653375021398888,0.47822773101395255,0.3883819120387512,0.2603860784475099,6.075476632103496
19,0.6476700151619846,0.5453915630301387,0.43572124969469483,0.2919486087070718,9.540260958416216
20,0.4816472366656323,0.4079170999461668,0.331116472878683,0.22195379601357582,4.005676127354581
21,0.42625408393063097,0.3625630117850765,0.2925036963738805,0.19731197116309623,2.930875970288379
22,0.5917114870189,0.49616354822296,0.3996160251637029,0.26660955195149494,6.980424953069935
23,0.6751472634811931,0.5687130714116041,0.4497142436977931,0.30182196324410576,10.96129237022025
24,0.6887219261633208,0.5793341535411488,0.45708213028026057,0.3058644562755574,11.348465421639105
25,0.6042529990411789,0.5079418418750394,0.40834884859927784,0.27151003700413484,7.482256911558523
26,0.9021978765317822,0.7704070898768,0.5400444674165285,0.37353817796053973,47.10072488027253
27,0.7076981334653605,0.5960303853635942,0.46577905044980056,0.31269807470579725,13.038830696783343
28,0.7912417321989015,0.6666119864542205,0.5008455026231425,0.3374757991874055,20.474747081177142
29,0.8602931592562415,0.7303117016406919,0.5350192226775706,0.3663335215555493,32.151293147904106
30,0.8580011235524555,0.7290227777337359,0.529594922473986,0.36344416023117043,33.28693608622727
31,0.9190014718330054,0.7872722563678246,0.5496525410919956,0.3821571358262685,54.11642496073638
32,0.7343289716602999,0.6181738274554696,0.4783202699194274,0.3220851920851285,14.980977570342203
33,0.8134567164394945,0.6880900271134844,0.5165480898667696,0.3509104046919584,23.524481137500665
34,0.8780143020904235,0.7456947480162518,0.5268683151839537,0.3632121601333342,38.24505850944184
35,0.820890233124774,0.6945825611891808,0.5157198728763915,0.3506637657750145,25.215687120091726
36,0.8875800668376771,0.7557494174127727,0.5409193532107616,0.3707704094583044,40.99454621876294
37,0.7577934956713884,0.636564232470236,0.4871723563703805,0.32707270204204436,17.21240916322832
38,0.9298975191704214,0.7993760487804696,0.5570422854325535,0.3883958416850581,64.37333109508543
39,0.9530648224974321,0.8227101433767038,0.5635240156356591,0.3946212470123236,91.08770328642046
40,0.9702744260226195,0.8448936109673483,0.5790893621640665,0.407076706461712,143.0341209549457
41,0.9449906254467891,0.8164422289965901,0.5672041583551118,0.39634075973132027,79.2790147461213
42,0.9815017683865267,0.8567908853700701,0.5773218764834225,0.4076490356497562,249.25603451463098
43,0.9720765170985715,0.8452765152878959,0.5734756433800484,0.40576995847976494,153.31703260174254
44,0.9582612395286576,0.8304527664837771,0.5649305132970409,0.39911523187813563,104.65530779569768
45,0.975055363733473,0.8499020432772706,0.5802943969426096,0.41155329142531266,176.15375795352244
46,0.9841024926263985,0.8618695799618576,0.5792159038047262,0.41095891570391846,296.49854455278575
47,0.9666213006189402,0.83788587753087,0.5696203498807669,0.40266407756772493,120.24382056677749
48,0.9682584509457637,0.84039286081105,0.5711117461936109,0.4032044336403863,124.49105395410898
49,0.9794341360052973,0.8532690162528057,0.5706078304003394,0.40540213935995895,216.94226687995885
50,0.9480471255028081,0.8155808987682822,0.5534570758473423,0.3863066322182948,84.97848770150273
51,0.14738145099110755,0.124042661988165,0.08562895578574668,0.060122907687335914,0.5166882626409542
52,0.1117907551257555,0.09388390948919381,0.06320482911924818,0.04509482390872408,0.3526951196712551
53,0.21238731143817727,0.1800871790680169,0.12966034362373358,0.09081587588848325,0.8696795324739596
54,0.1615912688105066,0.13631819794847638,0.09518118543575861,0.06719945972300455,0.5936494961463672
55,0.3016959456548298,0.2572586264104085,0.1964093326909917,0.13513717164528033,1.4638275027542205
56,0.2410045375562677,0.20487995406944504,0.14902283185965198,0.10450464571277492,0.9992191686783868
57,0.31299803673404575,0.2667716304325058,0.20177445713788053,0.13904699726055736,1.5690639930159689
58,0.12332865197772647,0.10348322522150175,0.06960120152631101,0.04951372955964032,0.41954286024420967
59,0.19155140637534962,0.16250749044630547,0.1163952704161815,0.08238278788144422,0.706166299743329
60,0.33723590039227347,0.28739491925664223,0.22231877384937052,0.15264787728043414,1.8027776441335914
61,0.26326931772166795,0.22483255657022877,0.16788121199567183,0.11684652556703672,1.188605241912391
62,0.3613841869243214,0.3074719360021699,0.24039814880449611,0.1636291806522287,2.07130317734261
63,0.6150727346335406,0.5181550168419536,0.41887332515357284,0.28017134615411277,7.746544017686478
64,0.36148270719671866,0.3078431468712142,0.24208467947701728,0.16433444323196847,2.144465423590511
65,0.5332499602886096,0.45172049435850825,0.36723504789071565,0.24700194564584027,5.107442316077956
66,0.5358061438553969,0.45334268755292273,0.3706188024723375,0.24773850812487472,5.287846593208094
67,0.4576002472067534,0.3880402669514684,0.31128904084636927,0.20870326354283103,3.486376813895067
68,0.3934781721601743,0.3346617670091868,0.26466819703170774,0.1794867243872927,2.4638856933014206
69,0.39983149366836085,0.34037734110877893,0.27152014342072944,0.1846636309199131,2.6410176861635004
70,0.5681960932196022,0.4783832115261493,0.3864353778019331,0.2581445545366342,6.290073665649112
71,0.6538916272659822,0.5514361661590926,0.4406723677703776,0.29640211638522573,9.877240560989117
72,0.4845242934684228,0.4091178740948847,0.3310295268076718,0.2212455204904889,4.147163991818175
73,0.4285050482374332,0.3646693219877285,0.29231658286019724,0.19821350388739378,3.0343999120299245
74,0.6932717658885531,0.5828501169812181,0.4599150609888452,0.3087314385869735,11.749314138908481
75,0.906216600496473,0.775721204934056,0.5499021742441884,0.37929287944754353,48.76440930360564
76,0.7120151639801201,0.5998717833055205,0.4684490116899954,0.3156063552996874,13.49938623141379
77,0.8001547904863742,0.6732087919973325,0.5039259414150271,0.33932513702813916,21.197952889096793
78,0.865279733971373,0.7363234902081434,0.5354683313467721,0.3668812960386266,34.46269202645773
79,0.9194888469291035,0.7878618625745425,0.5485208317841568,0.38082622624423423,56.02791684292099
80,0.7410712431554896,0.6259888379541189,0.48848631500381345,0.33097959050577014,15.510133312497668
81,0.9212016948281891,0.7924239542386322,0.5627795924062603,0.39191040413020356,58.00692614182906
82,0.8830871146019188,0.7544495387436604,0.5457603578698135,0.37714976305014547,39.595944472945796
83,0.8280555614053386,0.7028873784084838,0.5226965243685712,0.35869767559718135,26.106351669140064
84,0.892322874069212,0.7619090855121636,0.5480313030824276,0.37767440725679097,42.442549156278844
85,0.7657115380241443,0.6453115642887266,0.49336588235750495,0.332774757440777,17.82038318243269
86,0.9346110405987266,0.8029362892451372,0.5584297011159866,0.3879106728181458,66.64711580844585
87,0.8421918055782609,0.7143623160172811,0.5241147375270101,0.3574787352183052,28.97158893703964
88,0.9377911686897289,0.8093043136270082,0.5627237217883553,0.3935278855366233,71.43846488513192
89,0.9532618225437319,0.8261757969856257,0.5728082896095477,0.4031374665972304,94.30508886806521
90,0.9712604470448948,0.8440339779200652,0.5726567135281748,0.406561006176963,148.08634976124915
91,0.9469778838222968,0.8163078657568306,0.554847851926331,0.38845412559705317,82.07929568161833
92,0.9829516992177076,0.859535574749725,0.5715063126936353,0.4058725961267148,258.06021710625504
93,0.9723491768314396,0.8464740896878168,0.5704261965947589,0.40540020808781946,158.73247280185726
94,0.9624520308350839,0.8318266311736932,0.5623393273516905,0.39304712794414953,108.35192617771655
95,0.9760636966522438,0.84666048565956,0.5579521717274056,0.39554992897869695,182.3758333878987
96,0.9842421935029226,0.8580544027563666,0.564267932960432,0.4018122103932803,306.9714196808713
97,0.9675780098732178,0.83919337612309,0.5700057812749509,0.4017219859443324,128.88830745358777
98,0.9798053632043803,0.8534286985658632,0.5656800830200944,0.40215627461263476,224.60506763489855
99,0.14824431661056997,0.125559426425663,0.08851562364869207,0.06247776622743567,0.5349386444866657
100,0.27602410577748193,0.23499014883825317,0.17683730708205683,0.12233279484183801,1.3190576344607505
101,0.1101621620050856,0.09226064324787142,0.06174097301514988,0.04387349289114745,0.36515296141942816
102,0.21958816122927205,0.18678359091281563,0.13589523079460644,0.09556465692409785,0.9003982166374499
103,0.11538057151722539,0.09673073941918078,0.06462521779108561,0.04624428136197644,0.37805083710163195
104,0.1653410944016038,0.1396640070088942,0.09934842353814172,0.06964044319848522,0.6146182906217983
105,0.31792672313239617,0.27098654161577346,0.20765630909024876,0.1432539354550514,1.6244862254981456
106,0.12683191113684109,0.10647753887388636,0.0732491965724591,0.0516708755125735,0.43436188740956977
107,0.23485350541464162,0.199383986567798,0.1468322245123453,0.10241242261373835,1.0345134315724671
108,0.13343504463156464,0.11245860528864249,0.0778734114837577,0.055106709872002654,0.4655887365078728
109,0.19729387774451013,0.16737953450990015,0.12107196358376891,0.08496915889929496,0.7311093951235409
110,0.34335910236998957,0.2923643237515701,0.22552567197852055,0.15418861757402594,1.8664550735766
111,0.26772442541710245,0.22779634780671645,0.17051835100944482,0.11843549092746675,1.2305889700076234
112,0.43729516982215755,0.3712344500708244,0.29762515803314327,0.2004348876235415,3.1415805102190184
113,0.6201407037369191,0.5223533929210816,0.4207942857725994,0.2811292490322301,8.020166231562154
114,0.3734191631209331,0.31769285042808215,0.2500347749011166,0.16979957700592183,2.220211895235542
115,0.5493421824827593,0.46427918648066735,0.37846305492806215,0.2531317794567916,5.474623081944892
116,0.46224245653576873,0.3922804046167068,0.317116917383997,0.2129035970323696,3.6095220693850987
117,0.6436889413284923,0.5402686157455181,0.42887368957473837,0.28650146034890706,8.900399497115895
118,0.47523101021165753,0.4026622412547676,0.32613875996576547,0.2189347587934078,3.7370170422921527
119,0.40245433886573445,0.3430737875095781,0.27248029888492803,0.1858353684107727,2.5509146776586387
120,0.40586313764526466,0.345445868577043,0.2751114593997389,0.18672124359705652,2.734303299015241
121,0.5787947882528173,0.48789536434493724,0.39510641428705506,0.2647241691816334,6.512250661985341
122,0.6686965860732614,0.563992190687625,0.4503864811299592,0.3018633806950408,10.226122904277933
123,0.4995866564855178,0.42330325388745016,0.34262624354395127,0.22940560464989754,4.293649468458589
124,0.677474440613835,0.5706142103835327,0.4527752009564877,0.3034418882572458,10.587328415025018
125,0.5123579415556504,0.43461895474832085,0.35347315268973956,0.2372967199511731,4.602325592950471
126,0.6974926298611775,0.5865379853607855,0.4593768933456238,0.3077540747719249,12.164321571754513
127,0.8474633140106721,0.7189906224812562,0.5284736020107784,0.36115970358456745,29.99491886150009
128,0.9083578568615289,0.7747955778690205,0.5429093451532605,0.3743251542522482,50.486858127433095
129,0.7196893144960271,0.6052926904534652,0.47291167055907174,0.31766854751192,13.976209436467409
130,0.8022367779522735,0.6794049957027171,0.5150812020448781,0.35063064426999974,21.94670365923431
131,0.8727277723077213,0.7421684345153907,0.5280514891016953,0.3628552037559145,35.67997783376292
132,0.7505078325532912,0.6310283140776902,0.48411495440626734,0.3251778590148457,16.057979810856537
133,0.9250609636306765,0.792700015845366,0.5521734125810124,0.38293404824113175,60.05583769707377
134,0.8307463526725768,0.7034993583208877,0.5186973418274978,0.3545798015512854,27.028476131818877
135,0.8937449179283558,0.7619072960664137,0.5393403370902934,0.37112083757576875,43.941698226645386
136,0.7717348168974044,0.6501595106026913,0.4952733597526798,0.3340539806713789,18.449831964671237
137,0.9339461409882327,0.8027228141484186,0.5496564245387304,0.3842927962541594,69.00121478913965
138,0.9412982408314531,0.8107768778931558,0.5556211776112857,0.3895959756145748,73.96180314708725
139,0.9784794593510547,0.8513787868904742,0.5634845199650282,0.4011938574379435,232.53853263731014
140,0.9567644524247688,0.82750319111837,0.5625716237172677,0.39594787596023184,97.63611843904654
141,0.981838368389707,0.8584590743665818,0.5758073834523759,0.40978983591680657,267.1753796557266
142,0.9730621739609588,0.8480263442209315,0.5772034596090455,0.40973299145698966,164.33919633209752
143,0.9599525716206811,0.8310030290525279,0.5678864691355471,0.39840696833721695,112.17911593494905
144,0.9758910569426159,0.8492094916840116,0.57311584761698,0.4051443558849704,188.8176839957419
145,0.9789727217530538,0.8525985547941007,0.5737992236059003,0.40796813605582877,202.39203638745266
146,0.9843688048728497,0.8624804135871263,0.5717026606814481,0.40811691349500023,317.8142160630858
147,0.967197455608679,0.8386220809531538,0.5692895541452386,0.4011597744814312,133.4408800521066
148,0.10569818511809435,0.08851119683009215,0.05971465044438024,0.042425383157926114,0.32903999999999994
149,0.20791097673243011,0.17616072374663982,0.12658454467580624,0.08903825377458455,0.8113504763886695
150,0.2833030489209564,0.2418729506535063,0.1815532197078601,0.1266002912941839,1.2740556407676036
151,0.1502538387497778,0.12629640497369324,0.08792437324172857,0.06214061315643469,0.5538336634600178
152,0.2915766678852554,0.24843087020802246,0.1886613788261823,0.1302355732309501,1.3656491815231206
153,0.22104522632817644,0.18739729662464027,0.13564987639858517,0.09448690003626427,0.9322019413492111
154,0.11872527982070066,0.09972068867454797,0.06770507708089915,0.04806214791199534,0.39140428952752987
155,0.17380745768138706,0.1464186604300593,0.10213730580186016,0.0716786033333568,0.6363277415697889
156,0.1701775568601219,0.1437234040604854,0.1024167738854884,0.07189953586418428,0.6588040103421998
157,0.32686562285031395,0.27808952417275645,0.21433470112411934,0.1463177237200401,1.681866073391152
158,0.1362323721385973,0.11452636918793038,0.07829761977677356,0.055446319195301644,0.4497043499302584
159,0.24471596414095587,0.2081802295699512,0.15283782395393827,0.1065116854818309,1.0710543528897267
160,0.13574366389888606,0.11479821524595478,0.08021215682160472,0.05714192204687748,0.48203418889902944
161,0.2018471992995611,0.170737648010254,0.1215078931454899,0.08537364371427113,0.7569335266100805
162,0.3439581688544488,0.29236643445001753,0.2269045873251658,0.15471959549882527,1.9323817072038674
163,0.4437159635841055,0.37681422760225586,0.3029539128280671,0.2043350709831862,3.2525469247016825
164,0.6186148602668547,0.5202452756770685,0.4180143339584976,0.2789701079464934,8.303453286398552
165,0.38103786270096035,0.3250267475026923,0.25534439829930844,0.17409306230814414,2.298633871882218
166,0.5485011406140782,0.4630495471905353,0.3764050849088258,0.2528442299325159,5.667996860548167
167,0.5546658276695087,0.4687648260430096,0.3803531974145816,0.25464470645744436,5.868200957456755
168,0.6461271840415584,0.5436674748381493,0.4319428892168288,0.2893287631542714,9.21477801342182
169,0.4749168135940214,0.40211453437805283,0.3260500482908644,0.21854278502399072,3.869015372653215
170,0.4214357442643551,0.35874991229135644,0.28639906503974677,0.19408470874983597,2.830883931665868
171,0.5885469440728036,0.4973912864515252,0.4046233451121477,0.27125180698420787,6.742275359370063
172,0.5032453078113177,0.42506772042953783,0.3443822206087296,0.2298087244266511,4.445309082149986
173,0.5942917693967674,0.5009855283041529,0.4037128242727833,0.27084091989553133,7.2269864293994015
174,0.5210911015941677,0.4386660169248718,0.3559491934025101,0.2374891277249564,4.764888216340285
175,0.7760208443419605,0.6549725979158326,0.49541662265992986,0.33729934194316635,19.10151403815865
176,0.7057563015042919,0.5942203778110134,0.4656479731814548,0.3131760671530669,12.59398783211007
177,0.7775673937307648,0.6568439989057301,0.49931000907943424,0.33898186499941974,19.776214723724383
178,0.8561492660274262,0.7247670615372589,0.5282760492742876,0.3578659529147093,31.05439468519211
179,0.9108176399583706,0.7811178482558623,0.549784730150276,0.3817171246629866,52.27014701870065
180,0.7356135300577519,0.6196922704781587,0.4811771122560134,0.32278573927405757,14.469874916049664
181,0.8093788483371479,0.6848886699709151,0.5108855088279661,0.34757538213305345,22.72190168674212
182,0.8763189088808337,0.7461748164810529,0.5370017566093025,0.36898095052536306,36.9402604195998
183,0.8120366963621679,0.6831593847438086,0.5054720035154524,0.34144038382458247,24.355409173851225
184,0.7492046619114798,0.6303131317439137,0.4848441590185027,0.32653119551809096,16.625177257380518
185,0.9296190403912167,0.7974319242451261,0.5549475864188326,0.38470078298490196,62.17712058519955
186,0.8409937891241621,0.7111678432111874,0.5216243000063168,0.3546123048214069,27.98317173026753
187,0.8989000201225287,0.7655697900138483,0.5343655595224187,0.3682354937269277,45.4938000055522
188,0.9428668897445902,0.8139366185828446,0.5661558558679611,0.39492650656667644,76.57427036771324
189,0.9808592693446461,0.8536971284918586,0.5654799665490235,0.40127596512232744,240.7522222473283
190,0.9584583383716939,0.830319698869366,0.5705929923547476,0.3996964989051435,101.08480611454722
191,0.9741053721676164,0.8462513644401337,0.5683977523078645,0.3988851931813664,170.1439596722748
192,0.9840279108857455,0.8607173085212686,0.5658371233776811,0.40389290329528166,276.61250654838534
193,0.9817988185033413,0.8584053973629059,0.5682552229868202,0.4049815731505839,286.38297015830756
194,0.9622815004766814,0.8344052757302387,0.565407203403237,0.3979276519932164,116.1414890890493
195,0.9788010731135348,0.8526225579928048,0.5758919396629095,0.4078597581549857,195.48707264128944
196,0.9794001125309556,0.8554727005631936,0.5721097964946534,0.4087364578083781,209.54089618102032
197,0.9857870513445693,0.8620512276479635,0.5704555710701079,0.4051567514465269,329.03999999999996
198,0.9516449384493393,0.8203600723449497,0.5541183567210423,0.38676291920550904,87.98008452759758
199,0.9696888801169741,0.842367391063744,0.574015557929262,0.4045487346714466,138.1542579065424
